vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
60,330,2.0,35,65,1.0,0.8,20,7.595665,14,0.009539,-0.003571,0.5714,go
60,360,2.0,35,65,1.0,0.8,20,7.595665,14,0.009539,-0.003571,0.5714,go
65,330,2.0,35,65,1.0,0.8,20,7.595665,14,0.009539,-0.003571,0.5714,go
65,360,2.0,35,65,1.0,0.8,20,7.595665,14,0.009539,-0.003571,0.5714,go
60,360,2.5,38,65,1.0,0.8,25,7.496199,13,0.011178,-0.006504,0.5385,go
65,330,2.5,38,65,1.0,0.8,25,7.496199,13,0.011178,-0.006504,0.5385,go
65,360,2.5,38,65,1.0,0.8,25,7.496199,13,0.011178,-0.006504,0.5385,go
60,330,2.0,35,65,1.0,0.8,25,7.459937,14,0.011012,-0.003571,0.5,go
60,360,2.0,35,65,1.0,0.8,25,7.459937,14,0.011012,-0.003571,0.5,go
65,330,2.0,35,65,1.0,0.8,25,7.459937,14,0.011012,-0.003571,0.5,go
65,360,2.0,35,65,1.0,0.8,25,7.459937,14,0.011012,-0.003571,0.5,go
50,330,2.0,32,68,1.0,0.8,25,7.452649,10,0.0104,-0.003571,0.5,go
50,330,2.0,35,68,1.0,0.8,25,7.452649,10,0.0104,-0.003571,0.5,go
50,360,2.0,32,68,1.0,0.8,25,7.452649,10,0.0104,-0.003571,0.5,go
50,360,2.0,35,68,1.0,0.8,25,7.452649,10,0.0104,-0.003571,0.5,go
50,390,2.0,32,68,1.0,0.8,25,7.452649,10,0.0104,-0.003571,0.5,go
50,390,2.0,35,68,1.0,0.8,25,7.452649,10,0.0104,-0.003571,0.5,go
50,360,2.5,32,62,1.0,0.8,22,7.436825,11,0.009679,-0.005419,0.5455,go
50,360,2.5,35,62,1.0,0.8,22,7.436825,11,0.009679,-0.005419,0.5455,go
50,360,2.5,38,62,1.0,0.8,22,7.436825,11,0.009679,-0.005419,0.5455,go
60,390,2.5,32,62,1.0,0.8,25,7.378877,8,0.010243,-0.005419,0.5,no_go
65,390,2.5,32,62,1.0,0.8,25,7.378877,8,0.010243,-0.005419,0.5,no_go
50,330,2.5,32,68,1.0,0.8,22,7.189766,8,0.008913,-0.003842,0.5,no_go
50,330,2.5,35,68,1.0,0.8,22,7.189766,8,0.008913,-0.003842,0.5,no_go
50,330,2.5,38,68,1.0,0.8,22,7.189766,8,0.008913,-0.003842,0.5,no_go
50,360,2.5,32,62,1.0,0.8,20,7.081356,11,0.008494,-0.005419,0.5455,go
50,360,2.5,35,62,1.0,0.8,20,7.081356,11,0.008494,-0.005419,0.5455,go
50,360,2.5,38,62,1.0,0.8,20,7.081356,11,0.008494,-0.005419,0.5455,go
60,390,2.5,38,65,1.0,0.8,25,6.85721,10,0.009952,-0.00576,0.5,go
60,390,2.5,38,68,1.0,0.8,25,6.85721,10,0.009952,-0.00576,0.5,go
65,390,2.5,38,65,1.0,0.8,25,6.85721,10,0.009952,-0.00576,0.5,go
65,390,2.5,38,68,1.0,0.8,25,6.85721,10,0.009952,-0.00576,0.5,go
60,360,2.5,38,65,1.0,0.8,22,6.812112,13,0.009336,-0.006308,0.5385,go
65,330,2.5,38,65,1.0,0.8,22,6.812112,13,0.009336,-0.006308,0.5385,go
65,360,2.5,38,65,1.0,0.8,22,6.812112,13,0.009336,-0.006308,0.5385,go
60,330,2.5,32,62,1.0,0.8,25,6.777948,12,0.009745,-0.005419,0.5,go
60,330,2.5,35,62,1.0,0.8,25,6.777948,12,0.009745,-0.005419,0.5,go
60,360,2.5,32,62,1.0,0.8,25,6.777948,12,0.009745,-0.005419,0.5,go
65,330,2.5,32,62,1.0,0.8,25,6.777948,12,0.009745,-0.005419,0.5,go
65,360,2.5,32,62,1.0,0.8,25,6.777948,12,0.009745,-0.005419,0.5,go
50,330,2.0,32,68,1.0,0.8,22,6.742195,10,0.008531,-0.003571,0.5,go
50,330,2.0,35,68,1.0,0.8,22,6.742195,10,0.008531,-0.003571,0.5,go
50,360,2.0,32,68,1.0,0.8,22,6.742195,10,0.008531,-0.003571,0.5,go
50,360,2.0,35,68,1.0,0.8,22,6.742195,10,0.008531,-0.003571,0.5,go
50,390,2.0,32,68,1.0,0.8,22,6.742195,10,0.008531,-0.003571,0.5,go
50,390,2.0,35,68,1.0,0.8,22,6.742195,10,0.008531,-0.003571,0.5,go
60,330,2.0,32,65,1.0,0.8,25,6.691998,12,0.009628,-0.003571,0.5,go
60,360,2.0,32,65,1.0,0.8,25,6.691998,12,0.009628,-0.003571,0.5,go
65,330,2.0,32,65,1.0,0.8,25,6.691998,12,0.009628,-0.003571,0.5,go
65,360,2.0,32,65,1.0,0.8,25,6.691998,12,0.009628,-0.003571,0.5,go
